text,label,avg_rms,rms_std_dev,silence_ratio,had_long_silence,call_duration_sec,call_hour,speaker_switches,noise_floor_db,speech_rate_wpm,dtmf_detected
"Our trading algorithm generates passive income guaranteed returns",9,0,0,0,0,0,12,0,0,0,0
"This is a message from your local food bank. Thank you for your past donation.",0,0,0,0,0,0,12,0,0,0,0
"We are calling from the Red Cross to acknowledge your recent contribution.",0,0,0,0,0,0,12,0,0,0,0
"Hi, this is your library calling about an overdue book.",0,0,0,0,0,0,12,0,0,0,0
"Your prescription is ready for pickup at the pharmacy.",0,0,0,0,0,0,12,0,0,0,0
"This is your dentist office confirming your cleaning appointment on Friday.",0,0,0,0,0,0,12,0,0,0,0
"Press one to speak to our billing department press two for account services",6,8.5,1.2,0.25,0,90,14,3,1.6,185,1
"For English press one para Espanol oprima dos please hold while we connect you to the next available agent",6,7.8,0.9,0.30,0,120,10,4,1.8,192,1
"Thank you for calling your call is very important to us please continue to hold your estimated wait time is five minutes",6,6.5,0.8,0.45,1,180,11,2,1.5,178,1
"This is an automated message regarding your vehicle warranty please press one to speak with a representative",6,9.0,1.0,0.20,0,60,15,1,1.4,175,1
"Hello this is agent number 4427 how can I help you today please verify your account number and social security",3,7.2,2.8,0.18,0,240,13,5,1.7,145,0
"Good afternoon this is the fraud prevention department we have detected suspicious charges please confirm your card number and PIN immediately",3,8.1,3.1,0.15,0,200,14,4,1.9,152,0
"This is agent Mike from IRS compliance unit your case number is 8847 you owe back taxes action will be taken",1,6.8,2.5,0.22,0,300,9,6,1.6,138,0
"IRS agent speaking your social security number has been flagged press one to speak with a supervisor immediately",1,9.2,1.1,0.28,0,90,8,2,1.5,180,1
"We are calling on behalf of Microsoft your computer has been sending error reports please stay on the line while we transfer you to a senior technician",2,7.5,0.7,0.35,1,210,16,3,1.7,188,1
"Technical support department this call may be recorded for quality assurance your IP address has been flagged for suspicious activity",2,8.3,1.3,0.25,0,150,13,3,1.6,172,1
"Congratulations this is an automated notification you have been selected press one to claim your prize or press two to opt out",4,9.5,0.6,0.20,0,75,19,1,1.3,195,1
"Hi calling about your Medicare benefits you may qualify for additional coverage at no cost please hold while I transfer you to an enrollment specialist",8,7.0,2.2,0.30,1,270,10,5,1.8,143,0
"This is your final notice regarding your outstanding balance legal proceedings will begin within 24 hours unless payment is arranged today",1,6.2,3.5,0.12,0,180,21,2,0.8,128,0
"Your call is being recorded please note this call is for quality and training purposes agent 229 speaking how may I direct your call",6,8.8,1.5,0.28,0,60,14,2,1.5,168,0
"Good evening we are calling from Social Security Administration your number ending in 4 digits has been suspended due to suspicious activity",5,7.3,2.4,0.20,0,240,20,4,1.6,142,0
"Hi there calling from investment advisory firm we have an exclusive opportunity in cryptocurrency trading with guaranteed 30 percent monthly returns",9,6.9,3.2,0.15,0,300,11,3,0.9,135,0
"Please hold your call is important to us all our agents are busy we will be with you shortly estimated wait time two minutes",0,5.5,0.5,0.60,1,120,14,0,1.9,160,0
"Hello just confirming your appointment for tomorrow at two pm please press one to confirm or two to reschedule",0,4.8,1.8,0.25,0,45,10,0,0.4,140,1
"This is doctor Smith office calling about your test results please call us back at your earliest convenience",0,5.2,2.1,0.30,0,30,11,0,0.3,125,0
"Hi this is Jane from HR following up on your job application we would like to schedule an interview",0,5.8,2.5,0.20,0,60,14,1,0.6,133,0
